NID,nodeType,Centroid_X,Centroid_Y,gene_1,gene_2,gene_3
1,2,239,708,42,41,4
1,2,675,25,16,45,9
1,1,304,588,16,5,15
1,2,111,252,6,9,8
1,12,255,570,36,26,6
1,4,9,750,41,31,31
1,2,644,18,14,14,49
1,3,119,10,46,8,8
1,4,138,124,36,25,12
1,4,388,94,22,7,6
1,1,782,80,30,18,47
1,6,733,405,6,14,2
1,11,765,352,17,35,39
1,9,149,535,6,47,32
1,6,301,84,16,7,6
1,7,723,601,7,27,8
1,7,114,664,2,32,31
1,2,83,455,9,9,27
1,2,728,503,21,11,32
1,9,750,524,6,24,38
1,9,481,403,29,15,24
1,1,654,450,19,18,48
1,11,13,26,48,18,36
1,3,513,329,36,14,10
1,4,239,68,19,42,9
1,4,340,271,13,18,22
1,9,638,569,40,44,44
1,12,544,420,20,17,49
1,8,526,675,30,32,40
1,7,343,486,43,14,42
1,10,699,0,13,11,4
1,9,249,620,31,23,41
1,4,459,167,5,32,8
1,3,730,445,24,41,11
1,12,284,556,45,14,45
1,6,296,221,5,28,23
1,12,324,333,1,20,7
1,8,342,26,45,28,27
1,3,493,184,32,9,9
1,5,553,464,6,19,34
1,2,546,83,38,25,25
1,7,461,683,30,4,49
1,2,486,375,29,46,30
1,2,224,246,14,6,15
1,4,386,595,37,48,8
1,1,302,349,40,36,21
1,3,641,274,26,27,49
1,10,486,178,26,46,3
1,7,434,325,50,3,4
1,10,244,179,4,38,13
1,2,72,689,40,36,40
1,3,431,768,6,42,18
1,10,76,556,3,36,21
1,4,765,581,12,2,1
1,10,455,130,40,38,1
1,7,400,374,0,45,19
1,10,569,772,19,29,36
1,9,224,621,37,27,18
1,2,610,292,32,38,31
1,10,9,661,40,26,49
1,12,697,528,14,12,25
1,12,361,179,2,10,9
1,8,636,186,31,34,37
1,7,515,710,30,21,7
1,1,140,732,13,16,43
1,10,501,70,35,32,10
1,4,97,463,23,33,13
1,3,308,678,31,32,40
1,12,599,284,41,19,31
1,1,283,424,23,15,18
1,4,541,343,27,32,7
1,11,236,401,9,34,16
1,12,289,453,0,23,5
1,9,743,701,11,28,23
1,7,38,576,8,26,18
1,4,192,106,43,7,31
1,1,488,484,23,22,38
1,7,122,300,14,11,20
1,1,688,141,12,31,24
1,12,704,535,43,7,10
1,5,364,84,33,8,10
1,2,581,620,1,10,38
1,7,345,346,34,41,3
1,3,732,562,6,44,47
1,9,207,780,5,31,10
1,2,162,359,32,31,16
1,9,715,62,18,33,18
1,9,544,127,20,23,1
1,2,686,207,47,11,4
1,3,309,40,36,47,26
1,5,259,30,23,7,0
1,1,515,140,12,36,13
1,3,392,694,38,45,25
1,5,527,485,12,21,18
1,6,462,51,47,6,9
1,6,221,57,15,4,9
1,6,634,441,27,29,3
1,8,344,86,35,39,35
1,11,236,374,0,47,8
1,6,359,55,16,47,18
1,1,492,654,11,20,33
1,10,288,585,21,9,20
1,11,672,602,7,24,28
1,6,492,106,20,43,39
1,1,1,320,17,2,7
1,4,135,372,33,38,37
1,1,581,706,39,25,47
1,1,452,104,19,15,46
1,5,3,127,48,6,24
1,7,386,93,6,48,30
1,4,524,691,27,48,43
1,9,212,685,45,47,37
1,11,675,724,34,38,39
1,6,111,605,11,36,47
1,7,421,140,14,0,29
1,1,247,30,20,32,15
1,7,162,286,20,4,49
1,2,710,679,11,26,11
1,1,431,416,14,18,1
1,1,460,558,21,15,10
1,3,528,72,39,40,30
1,3,439,215,45,50,29
1,8,41,767,26,32,34
1,9,126,97,1,2,6
1,6,696,203,16,20,14
1,1,509,172,34,35,9
1,3,726,468,38,5,13
1,10,361,662,39,49,13
1,12,401,221,11,25,41
1,2,648,96,12,21,10
1,4,140,715,12,24,2
1,11,42,188,26,49,27
1,1,19,115,9,35,23
1,4,553,323,17,23,9
1,9,121,748,29,13,32
1,2,265,661,6,49,8
1,2,142,567,4,40,12
